relevance,doc_type_ai,doc_type_pages,page_count,doi,plant_host,fungal_taxon,tissue,presence_absence,primary_guild,interaction_notes,biome,country,data_source,source_file
Relevant,Abstract,Abstract,0,10.1007/s11274-023-03758-2,Solanum melongena,Candida parapsilosis,Internal tissues of fruits,Present,Endophytic,Isolated from internal tissues of various fruit species.,Not specified,21 countries,Abstract-CSV,DOI_10.1007_s11274-023-03758-2
Relevant,Abstract,Abstract,0,10.1016/j.pmpp.2024.102287,Solanum tuberosum (Potato),['Aspergillus niger',Not specified,Present,Biocontrol Agent,Isolated and used as biopesticides against Ralstonia solanacearum wilt disease,Agricultural field,Not specified,Abstract-CSV,DOI_10.1016_j.pmpp.2024.102287
Relevant,Abstract,Abstract,0,10.1093/jambio/lxad178,Salicornia europaea,Marixanthomonas,roots,Present,Endophytic,Isolated from wild and cultivated roots of Salicornia europaea; Salt marsh (wild),Intensive crop field (crop),(Not provided in text),Abstract-CSV,DOI_10.1093_jambio_lxad178
Relevant,Abstract,Abstract,0,10.1007/s00468-018-1758-0,Santalum album L.,Colletotrichum gloeosporioides,Callus,Present,Endophytic,Co-cultured with C. gloeosporioides induces the presence of santalenes and bisabolene; precursors of santalol.,Not specified,Not specified,Abstract-CSV,DOI_10.1007_s00468-018-1758-0
Relevant,Abstract,Abstract,0,,Rhizophora apiculata,'Phyllosticta sp.',leaves,Present,Endophytic,Isolated from different age levels of leaves; with some fungi showing increased frequency in fallen leaves,Mangrove,(Not provided in text),Abstract-CSV,DOI_nan
Relevant,Abstract,Abstract,0,10.1007/s10886-025-01583-5,Brassica juncea (Indian mustard),'Cladosporium sp. PWEL1033',(Not explicitly mentioned,assumed to be roots as endophytes are internal plant symbionts),Present,Endophytic; Isolated from Brassica juncea,(Not provided in text),India,Abstract-CSV,DOI_10.1007_s10886-025-01583-5
Relevant,Abstract,Abstract,0,10.1016/j.micres.2025.128287,Avicennia germinans L.,Endophytic microbiome (Multiple fungal species),Leaves,Roots,Present,Endophytic; Isolated from leaves and pneumatophores (above ground roots) of A. germinans in Buenaventura Bay mangrove ecosystem (Colombia),Mangrove,Colombia,Abstract-CSV,DOI_10.1016_j.micres.2025.128287
Relevant,Abstract,Abstract,0,10.1016/j.crmicr.2025.100445,Gardenia saxatilis (Geddes),Hypoxylon saxatilis KKU-KHP 01,midrib,petiole,Present,Biocontrol Agent; Isolated from surface-sterilized midrib and petiole; exhibits antibacterial activity against Ralstonia solanacearum,Not specified,Not specified,Abstract-CSV,DOI_10.1016_j.crmicr.2025.100445
Relevant,Abstract,Abstract,0,,Nothofagus obliqua,Bipolaris sp.],xylem,Present,Endophytic,Isolated from surface-sterilized xylem core samples,Not Specified,Chile,Abstract-CSV,DOI_nan
Relevant,Abstract,Abstract,0,10.1016/j.revpalbo.2009.03.011,Lycophyte,Chytridiomycota,xylem,periderm,cortical parenchyma,Present; Saprotrophic (majority); Parasitic (few forms); Host responses possibly linked to chytrid infection occur in the form of callosities; some with a distinct penetration canal.,Not specified,France,Abstract-CSV,DOI_10.1016_j.revpalbo.2009.03.011
