"relevance","doc_type_ai","doc_type_pages","page_count","doi","plant_host","fungal_taxon","tissue","presence_absence","primary_guild","interaction_notes","biome","country","data_source","source_file","doc_type_ai_clean"
"Relevant","abstract","abstract","0","10.5846/stxb201402100229","ambrosia artemisiifolia l.","alternaria","seeds","present","endophytic","isolated from seeds. horizontally transmitted to the next generation as no endophytic fungi were detected in newly developed seedlings.","","china","abstract-csv","doi_10.5846_stxb201402100229","Abstract"
"Relevant","abstract","abstract","0","10.1016/j.bse.2014.12.017","carapa guianensis aublet (meliaceae)","endomelanconiopsis","not specified","present","endophytic","isolated from the medicinal plant carapa guianensis.","tropical forest","amazonian hotspot region","not specified","abstract-csv; doi_10.1016_j.bse.2014.12.017","Abstract"
"Relevant","abstract","abstract","0","10.3390/horticulturae10040334","solanum lycopersicum (tomato)","alternaria leptinellae e138","not specified","present","biocontrol agent","produced under controlled conditions","tested for direct and indirect mechanisms in biocontrol","greenhouse","not specified","abstract-csv; doi_10.3390_horticulturae10040334","Abstract"
"Relevant","abstract","abstract","0","10.1146/annurev-phyto-080516-035551","plants in general","plant-pathogenic fungi","within living plant cells","present","pathogenic","living as endophyte or pathogen inside a living plant","secreting effectors","enzymes","and secondary metabolites; changing metabolism; and defending against toxic compounds.","(not specified in text); (not specified in text); abstract-csv; doi_10.1146_annurev-phyto-080516-035551","Abstract"
"Relevant","abstract","abstract","0","10.1016/j.tetlet.2021.153207","hippophae rhamnoides","cytospora chrysosperma","not specified","present","endophytic","isolated from hippophae rhamnoides","not specified","not specified","abstract-csv","doi_10.1016_j.tetlet.2021.153207","Abstract"
"Relevant","abstract","abstract","0","10.1080/00275514.2019.1668905","polypodiaceae (fern family)","acrospermum sp.","epibiotic upon the surface of ferns","present","epibiotic (saprophytic and potentially other lifestyles for some species)","occurs upon approximately 45 neotropical species.","not specified","not specified","abstract-csv","doi_10.1080_00275514.2019.1668905","Abstract"
"Relevant","abstract","abstract","0","10.1002/ps.8918","pinus massoniana","bursaphelenchus xylophilus","not specified","present","pathogenic","causes pine wilt disease","not specified","not specified","abstract-csv","doi_10.1002_ps.8918","Abstract"
"Relevant","abstract","abstract","0","10.3390/jof10090606","unspecified food crops","ramichloridium","not specified","present","biocontrol agents","isolated and exhibiting antagonistic capabilities against phytopathogenic fungi.","agricultural","not specified","abstract-csv","doi_10.3390_jof10090606","Abstract"
"Relevant","abstract","abstract","0","10.5943/mycosphere/si/1b/10","several unspecified plant species from forest and urban environments in portugal","neofusicoccum parvum","not specified in text","present","pathogenic","isolated from plant species showing dieback and canker symptoms","forest and urban","portugal","abstract-csv","doi_10.5943_mycosphere_si_1b_10","Abstract"
"Relevant","abstract","abstract","0","10.13057/biodiv/d231156","zea mays (corn)","aspergillus flavus","(not explicitly mentioned","likely seeds)","present","biocontrol agents (beauveria bassiana","metarhizium anisopliae","curvularia lunata)","isolated from seed-treated corn and found to be pathogenic to spodoptera frugiperda","agricultural; indonesia (south sumatra); abstract-csv; doi_10.13057_biodiv_d231156","Abstract"
"Relevant","abstract","abstract","0","10.1002/ptr.8518","ilex (endophytic fungi in plants)",NA,"not specified","present","endophytic","utilized for microbial transformation of rotundic acid to generate itp3","not specified","not specified","abstract-csv","doi_10.1002_ptr.8518","Abstract"
"Relevant","abstract","abstract","0","10.3389/fevo.2021.789371","arabidopsis thaliana","serendipita indica","plant: not specified","fungus: not specified (assumed as colonizing roots)","present","endophytic","root-colonizing endosymbiotic fungus improves plant growth under various conditions","but its role in k+ nutrition has not been fully clarified until now.","not specified","not specified; abstract-csv; doi_10.3389_fevo.2021.789371","Abstract"
"Relevant","abstract","abstract","0","10.1111/j.1744-7348.1974.tb01503.x","hordeum vulgare cv. zephyr (barley)","puccinia hordei","leaf","present","pathogenic","interaction noted as affecting development and severity of both pathogens on the same leaf","with pre-inoculation reducing the development of the other.","agricultural field","not specified","abstract-csv; doi_10.1111_j.1744-7348.1974.tb01503.x","Abstract"
"Relevant","full-text","full-text","10","10.1590/1413-7054201943001519","oryza sativa l.","claroideoglomus etunicatum","","present","mycorrhizal","colonization of rice plants","agricultural","brazil","full-text","doi_10.1590_1413-7054201943001519","Full-Text"
"Relevant","abstract","abstract","0","10.3390/plants12091825","vicia faba l.","botrytis spp.","seed","present","pathogenic","seeds were damaged by bruchus rufimanus","leading to fungal contamination","","not specified","abstract-csv; doi_10.3390_plants12091825","Abstract"
