id,countries_detected,global_north_countries,global_south_countries,continents_detected,regions_detected,has_coordinates,geographic_summary
5450,Spain; Italy; Greece; Turkey; France,Spain; Italy; Greece; France,Turkey,NA,mediterranean,FALSE,Spain; Italy; Greece; Turkey; France; mediterranean
9942,NA,NA,NA,NA,NA,FALSE,NA
3105,NA,NA,NA,NA,NA,FALSE,NA
20355,NA,NA,NA,NA,tropical; rainforest,FALSE,tropical; rainforest
2535,Australia,Australia,NA,australia,bay,FALSE,Australia; australia; bay
15925,India; Malaysia,NA,India; Malaysia,NA,NA,FALSE,India; Malaysia
16980,NA,NA,NA,NA,NA,FALSE,NA
13386,NA,NA,NA,NA,NA,FALSE,NA
19779,India,NA,India,NA,plateau,FALSE,India; plateau
7305,NA,NA,NA,NA,NA,FALSE,NA
633,NA,NA,NA,NA,NA,FALSE,NA
12844,NA,NA,NA,NA,xeric; mesic,FALSE,xeric; mesic
12291,US,US,NA,NA,NA,FALSE,US
8767,NA,NA,NA,NA,NA,TRUE,NA
6517,NA,NA,NA,NA,NA,TRUE,NA
628,NA,NA,NA,NA,NA,FALSE,NA
5938,NA,NA,NA,NA,NA,FALSE,NA
15666,Zimbabwe,NA,Zimbabwe,NA,NA,FALSE,Zimbabwe
4356,NA,NA,NA,NA,NA,FALSE,NA
7044,NA,NA,NA,NA,NA,FALSE,NA
4568,NA,NA,NA,NA,NA,FALSE,NA
18285,NA,NA,NA,NA,NA,FALSE,NA
7861,NA,NA,NA,NA,subtropical,FALSE,subtropical
4786,NA,NA,NA,NA,semi-arid,FALSE,semi-arid
13901,NA,NA,NA,NA,NA,FALSE,NA
15719,US; India,US,India,NA,western ghats,FALSE,US; India; western ghats
5725,NA,NA,NA,NA,NA,TRUE,NA
8843,China,NA,China,NA,NA,FALSE,China
16296,NA,NA,NA,NA,NA,FALSE,NA
15322,India,NA,India,NA,NA,FALSE,India
5070,Australia,Australia,NA,australia,NA,FALSE,Australia; australia
9830,NA,NA,NA,NA,NA,FALSE,NA
4213,Oman,NA,Oman,NA,NA,FALSE,Oman
6578,NA,NA,NA,NA,NA,FALSE,NA
5039,NA,NA,NA,NA,NA,FALSE,NA
20087,Portugal,Portugal,NA,NA,NA,FALSE,Portugal
8644,Indonesia,NA,Indonesia,NA,tropical,TRUE,Indonesia; tropical
9808,NA,NA,NA,NA,NA,FALSE,NA
3538,NA,NA,NA,NA,NA,FALSE,NA
2046,USA,USA,NA,NA,subalpine; rocky mountains; marsh,FALSE,USA; subalpine; rocky mountains; marsh
16480,NA,NA,NA,NA,NA,FALSE,NA
11343,NA,NA,NA,NA,NA,FALSE,NA
9511,NA,NA,NA,NA,NA,FALSE,NA
14989,NA,NA,NA,NA,NA,FALSE,NA
19258,NA,NA,NA,NA,NA,FALSE,NA
6228,NA,NA,NA,NA,NA,FALSE,NA
15403,Indonesia,NA,Indonesia,NA,indonesian,FALSE,Indonesia; indonesian
8298,South Korea,South Korea,NA,NA,NA,FALSE,South Korea
192,NA,NA,NA,NA,NA,FALSE,NA
3553,Spain,Spain,NA,NA,NA,FALSE,Spain
16539,NA,NA,NA,NA,NA,FALSE,NA
6050,NA,NA,NA,NA,NA,FALSE,NA
20021,NA,NA,NA,NA,NA,FALSE,NA
10062,Spain; Italy; Greece; Turkey; France,Spain; Italy; Greece; France,Turkey,NA,tropical; subtropical; mediterranean,TRUE,Spain; Italy; Greece; Turkey; France; tropical; subtropical; mediterranean
7464,NA,NA,NA,NA,NA,FALSE,NA
10064,NA,NA,NA,NA,NA,FALSE,NA
11093,NA,NA,NA,NA,NA,TRUE,NA
10518,NA,NA,NA,NA,NA,FALSE,NA
19405,US,US,NA,NA,NA,FALSE,US
12848,Poland,Poland,NA,europe,central europe,FALSE,Poland; europe; central europe
7612,NA,NA,NA,NA,NA,FALSE,NA
10000,NA,NA,NA,NA,NA,TRUE,NA
13751,NA,NA,NA,NA,NA,FALSE,NA
10677,NA,NA,NA,NA,NA,TRUE,NA
17261,NA,NA,NA,NA,NA,FALSE,NA
11383,NA,NA,NA,NA,salt marsh; sand dune,FALSE,salt marsh; sand dune
672,NA,NA,NA,NA,NA,FALSE,NA
18203,China,NA,China,NA,NA,FALSE,China
17607,NA,NA,NA,NA,mangrove,FALSE,mangrove
11935,NA,NA,NA,NA,NA,TRUE,NA
6701,NA,NA,NA,NA,NA,FALSE,NA
3542,Sweden,Sweden,NA,NA,boreal; temperate,FALSE,Sweden; boreal; temperate
20169,NA,NA,NA,NA,NA,TRUE,NA
7469,NA,NA,NA,NA,marine,TRUE,marine
12088,NA,NA,NA,NA,NA,FALSE,NA
20474,Thailand,NA,Thailand,NA,NA,FALSE,Thailand
11787,NA,NA,NA,NA,NA,FALSE,NA
14065,South Korea,South Korea,NA,NA,NA,FALSE,South Korea
12287,Switzerland,Switzerland,NA,NA,NA,FALSE,Switzerland
2618,Denmark,Denmark,NA,NA,NA,FALSE,Denmark
14990,NA,NA,NA,NA,NA,FALSE,NA
10928,NA,NA,NA,NA,NA,FALSE,NA
9912,NA,NA,NA,NA,NA,FALSE,NA
8140,NA,NA,NA,NA,NA,FALSE,NA
19861,Turkey,NA,Turkey,NA,NA,TRUE,Turkey
9275,NA,NA,NA,NA,NA,FALSE,NA
11600,China,NA,China,NA,NA,FALSE,China
13828,NA,NA,NA,NA,NA,TRUE,NA
16108,India,NA,India,NA,NA,FALSE,India
10569,NA,NA,NA,europe,NA,FALSE,europe
4544,China,NA,China,NA,NA,FALSE,China
6215,NA,NA,NA,NA,NA,TRUE,NA
2223,Poland; Iran; Spain; Italy; Greece; Turkey; France,Poland; Spain; Italy; Greece; France,Iran; Turkey,NA,mediterranean,FALSE,Poland; Iran; Spain; Italy; Greece; Turkey; France; mediterranean
9525,NA,NA,NA,NA,NA,FALSE,NA
5624,NA,NA,NA,NA,NA,FALSE,NA
4246,Germany,Germany,NA,NA,NA,FALSE,Germany
14909,NA,NA,NA,NA,NA,FALSE,NA
8401,Germany,Germany,NA,NA,NA,FALSE,Germany
11055,NA,NA,NA,NA,NA,FALSE,NA
656,NA,NA,NA,NA,marine; mangrove; acidic,FALSE,marine; mangrove; acidic
2035,NA,NA,NA,NA,marine,FALSE,marine
15731,NA,NA,NA,NA,acidic,FALSE,acidic
215,NA,NA,NA,NA,mangrove,FALSE,mangrove
3261,China,NA,China,NA,NA,TRUE,China
5935,NA,NA,NA,NA,NA,FALSE,NA
18251,NA,NA,NA,NA,NA,FALSE,NA
17561,NA,NA,NA,NA,marine,FALSE,marine
4275,NA,NA,NA,NA,NA,FALSE,NA
2662,NA,NA,NA,NA,NA,FALSE,NA
19672,China,NA,China,NA,NA,FALSE,China
6398,NA,NA,NA,NA,NA,FALSE,NA
2743,NA,NA,NA,NA,strand,FALSE,strand
3436,NA,NA,NA,NA,NA,FALSE,NA
4180,UK,UK,NA,south america; africa; asia; europe; oceania,NA,FALSE,UK; south america; africa; asia; europe; oceania
8709,NA,NA,NA,NA,NA,TRUE,NA
15095,India,NA,India,NA,NA,TRUE,India
12661,NA,NA,NA,NA,NA,FALSE,NA
2305,NA,NA,NA,NA,NA,FALSE,NA
8882,NA,NA,NA,NA,NA,FALSE,NA
4065,NA,NA,NA,NA,tropical; temperate,FALSE,tropical; temperate
17548,NA,NA,NA,NA,NA,FALSE,NA
2698,NA,NA,NA,NA,NA,FALSE,NA
16092,India,NA,India,NA,NA,FALSE,India
802,US,US,NA,NA,NA,FALSE,US
5498,NA,NA,NA,NA,NA,FALSE,NA
19878,NA,NA,NA,NA,tropical,FALSE,tropical
11579,Malaysia,NA,Malaysia,NA,NA,FALSE,Malaysia
18234,India,NA,India,NA,delta,FALSE,India; delta
11895,NA,NA,NA,NA,NA,TRUE,NA
14831,NA,NA,NA,NA,NA,FALSE,NA
2546,NA,NA,NA,NA,NA,FALSE,NA
14899,NA,NA,NA,NA,NA,FALSE,NA
8145,NA,NA,NA,NA,NA,FALSE,NA
15387,NA,NA,NA,NA,NA,TRUE,NA
19717,NA,NA,NA,NA,acidic,TRUE,acidic
12391,China,NA,China,NA,temperate,FALSE,China; temperate
2586,NA,NA,NA,NA,NA,FALSE,NA
13677,NA,NA,NA,NA,pasture,FALSE,pasture
5290,Spain; Italy; Greece; Turkey; France,Spain; Italy; Greece; France,Turkey,NA,mediterranean; temperate; tropical,FALSE,Spain; Italy; Greece; Turkey; France; mediterranean; temperate; tropical
7633,NA,NA,NA,NA,NA,FALSE,NA
18058,NA,NA,NA,NA,NA,TRUE,NA
15567,United States; Canada,United States; Canada,NA,NA,NA,FALSE,United States; Canada
17664,NA,NA,NA,NA,coastal,FALSE,coastal
6757,Brazil,NA,Brazil,NA,tropical; dry forest; caatinga,FALSE,Brazil; tropical; dry forest; caatinga
15821,China,NA,China,NA,NA,FALSE,China
1631,Costa Rica,NA,Costa Rica,NA,neotropical; montane; cloud forest; tropical,FALSE,Costa Rica; neotropical; montane; cloud forest; tropical
9512,NA,NA,NA,NA,NA,TRUE,NA
17722,Spain,Spain,NA,NA,NA,TRUE,Spain
16283,NA,NA,NA,NA,NA,FALSE,NA
521,India,NA,India,NA,NA,FALSE,India
21092,NA,NA,NA,NA,NA,TRUE,NA
7752,China,NA,China,NA,temperate,FALSE,China; temperate
5381,NA,NA,NA,NA,NA,TRUE,NA
12562,NA,NA,NA,NA,arid; shrubland; xeric; desert; delta,FALSE,arid; shrubland; xeric; desert; delta
1550,NA,NA,NA,NA,NA,FALSE,NA
587,NA,NA,NA,NA,NA,FALSE,NA
17564,NA,NA,NA,NA,NA,FALSE,NA
15039,NA,NA,NA,NA,NA,TRUE,NA
19041,NA,NA,NA,NA,NA,FALSE,NA
15225,NA,NA,NA,NA,NA,TRUE,NA
12424,United States,United States,NA,NA,upland,TRUE,United States; upland
20292,NA,NA,NA,NA,NA,FALSE,NA
8304,NA,NA,NA,NA,NA,FALSE,NA
13728,NA,NA,NA,NA,NA,FALSE,NA
13529,NA,NA,NA,NA,NA,FALSE,NA
12512,NA,NA,NA,NA,NA,TRUE,NA
14856,Oman,NA,Oman,NA,arabian peninsula,FALSE,Oman; arabian peninsula
7929,China,NA,China,NA,tropical; subtropical; mangrove,FALSE,China; tropical; subtropical; mangrove
11238,NA,NA,NA,NA,NA,TRUE,NA
8224,NA,NA,NA,NA,NA,FALSE,NA
10202,India,NA,India,NA,NA,FALSE,India
4069,US,US,NA,NA,brazilian cerrado,FALSE,US; brazilian cerrado
19410,NA,NA,NA,NA,NA,FALSE,NA
19722,NA,NA,NA,NA,NA,FALSE,NA
6618,NA,NA,NA,NA,NA,TRUE,NA
17736,NA,NA,NA,NA,NA,FALSE,NA
13022,NA,NA,NA,NA,NA,FALSE,NA
3531,NA,NA,NA,NA,NA,FALSE,NA
18539,NA,NA,NA,NA,acidic,FALSE,acidic
6185,NA,NA,NA,NA,NA,FALSE,NA
15583,Mexico,NA,Mexico,NA,NA,FALSE,Mexico
3081,Australia,Australia,NA,australia,NA,FALSE,Australia; australia
10182,NA,NA,NA,NA,NA,FALSE,NA
6181,NA,NA,NA,NA,NA,TRUE,NA
12856,NA,NA,NA,NA,NA,TRUE,NA
10214,NA,NA,NA,NA,NA,FALSE,NA
19312,NA,NA,NA,NA,NA,FALSE,NA
13132,Argentina; Chile,NA,Argentina; Chile,NA,patagonian,FALSE,Argentina; Chile; patagonian
10339,India,NA,India,NA,NA,FALSE,India
4243,NA,NA,NA,NA,NA,FALSE,NA
17272,Portugal; Brazil,Portugal,Brazil,NA,NA,FALSE,Portugal; Brazil
18726,NA,NA,NA,NA,NA,TRUE,NA
20742,NA,NA,NA,NA,NA,FALSE,NA
3509,South Korea,South Korea,NA,NA,marine; coastal,FALSE,South Korea; marine; coastal
14411,NA,NA,NA,NA,NA,FALSE,NA
12139,NA,NA,NA,NA,NA,FALSE,NA
3682,Australia; Antarctica,Australia,Antarctica,australia; antarctica,NA,FALSE,Australia; Antarctica; australia; antarctica
13549,New Zealand,New Zealand,NA,NA,NA,FALSE,New Zealand
20692,NA,NA,NA,NA,arid,FALSE,arid
3273,NA,NA,NA,NA,NA,FALSE,NA
8157,NA,NA,NA,NA,NA,FALSE,NA
1672,NA,NA,NA,NA,NA,TRUE,NA
11843,NA,NA,NA,NA,NA,FALSE,NA
6356,USA,USA,NA,NA,calcareous; fen; wetland,FALSE,USA; calcareous; fen; wetland
16636,NA,NA,NA,NA,NA,TRUE,NA
3415,Japan,Japan,NA,asia,japan,FALSE,Japan; asia; japan
16543,NA,NA,NA,NA,NA,TRUE,NA
2548,NA,NA,NA,NA,valley,FALSE,valley
436,NA,NA,NA,NA,NA,FALSE,NA
15736,USA; China,USA,China,NA,NA,FALSE,USA; China
11588,NA,NA,NA,NA,NA,FALSE,NA
552,NA,NA,NA,NA,NA,TRUE,NA
11285,NA,NA,NA,NA,NA,FALSE,NA
15608,NA,NA,NA,NA,NA,FALSE,NA
13791,France,France,NA,NA,southwest,FALSE,France; southwest
2007,China,NA,China,NA,southwest,FALSE,China; southwest
7310,Costa Rica,NA,Costa Rica,NA,tropical; rainforest,FALSE,Costa Rica; tropical; rainforest
13116,China,NA,China,NA,mangrove,FALSE,China; mangrove
18788,NA,NA,NA,NA,reservoir,FALSE,reservoir
15446,New Zealand,New Zealand,NA,NA,pasture,TRUE,New Zealand; pasture
10826,NA,NA,NA,NA,NA,FALSE,NA
10641,NA,NA,NA,NA,steppe,TRUE,steppe
13931,China,NA,China,NA,NA,FALSE,China
7747,NA,NA,NA,NA,NA,FALSE,NA
4827,NA,NA,NA,NA,NA,FALSE,NA
7689,Brazil; Peru; Colombia; Ecuador; Bolivia; Venezuela,NA,Brazil; Peru; Colombia; Ecuador; Bolivia; Venezuela,NA,amazonian,FALSE,Brazil; Peru; Colombia; Ecuador; Bolivia; Venezuela; amazonian
12980,China,NA,China,NA,NA,FALSE,China
2949,Australia,Australia,NA,australia,NA,FALSE,Australia; australia
16174,NA,NA,NA,NA,NA,FALSE,NA
16665,NA,NA,NA,NA,NA,FALSE,NA
6258,NA,NA,NA,NA,NA,FALSE,NA
15551,NA,NA,NA,NA,NA,FALSE,NA
17629,UK; Italy; Croatia; Serbia; United Kingdom,UK; Italy; Croatia; United Kingdom,Serbia,NA,NA,TRUE,UK; Italy; Croatia; Serbia; United Kingdom
9391,NA,NA,NA,NA,NA,FALSE,NA
4483,China,NA,China,NA,NA,FALSE,China
11425,Portugal,Portugal,NA,NA,NA,FALSE,Portugal
20017,NA,NA,NA,NA,NA,FALSE,NA
16150,NA,NA,NA,NA,NA,FALSE,NA
20741,NA,NA,NA,NA,NA,TRUE,NA
10561,NA,NA,NA,NA,NA,FALSE,NA
12292,China,NA,China,NA,NA,FALSE,China
5080,NA,NA,NA,NA,NA,FALSE,NA
9628,NA,NA,NA,NA,NA,FALSE,NA
9807,NA,NA,NA,NA,NA,TRUE,NA
20322,NA,NA,NA,NA,NA,FALSE,NA
17684,NA,NA,NA,NA,NA,FALSE,NA
1812,NA,NA,NA,NA,NA,FALSE,NA
7147,Madagascar,NA,Madagascar,NA,madagascar,FALSE,Madagascar; madagascar
9710,NA,NA,NA,NA,NA,TRUE,NA
5291,NA,NA,NA,NA,orchard,FALSE,orchard
1975,NA,NA,NA,NA,NA,FALSE,NA
15394,NA,NA,NA,NA,NA,FALSE,NA
8356,NA,NA,NA,NA,NA,FALSE,NA
2018,Mexico,NA,Mexico,NA,marine,FALSE,Mexico; marine
13587,NA,NA,NA,NA,arctic; alpine; tundra,FALSE,arctic; alpine; tundra
13804,NA,NA,NA,NA,NA,FALSE,NA
12851,US,US,NA,NA,NA,FALSE,US
3000,NA,NA,NA,NA,subalpine; grassland,FALSE,subalpine; grassland
6737,NA,NA,NA,NA,NA,FALSE,NA
10902,NA,NA,NA,NA,NA,FALSE,NA
11626,NA,NA,NA,NA,NA,FALSE,NA
14220,NA,NA,NA,NA,NA,TRUE,NA
3896,NA,NA,NA,NA,NA,FALSE,NA
19206,NA,NA,NA,NA,NA,FALSE,NA
9414,NA,NA,NA,NA,NA,FALSE,NA
11163,NA,NA,NA,NA,NA,FALSE,NA
8792,Democratic Republic of the Congo,NA,Democratic Republic of the Congo,NA,NA,TRUE,Democratic Republic of the Congo
3744,US,US,NA,NA,NA,FALSE,US
554,NA,NA,NA,NA,NA,FALSE,NA
13209,NA,NA,NA,NA,NA,FALSE,NA
1365,NA,NA,NA,NA,NA,FALSE,NA
12230,NA,NA,NA,NA,NA,FALSE,NA
3924,New Zealand,New Zealand,NA,NA,NA,FALSE,New Zealand
19646,Thailand,NA,Thailand,NA,NA,FALSE,Thailand
15377,Germany,Germany,NA,NA,NA,TRUE,Germany
6613,NA,NA,NA,NA,NA,TRUE,NA
8156,China,NA,China,NA,NA,TRUE,China
19112,NA,NA,NA,NA,NA,FALSE,NA
1340,NA,NA,NA,NA,NA,FALSE,NA
8495,Kenya,NA,Kenya,NA,mangrove; indo-pacific; bay,FALSE,Kenya; mangrove; indo-pacific; bay
11552,NA,NA,NA,NA,NA,FALSE,NA
7348,India,NA,India,NA,northeast,FALSE,India; northeast
1469,Argentina; Chile,NA,Argentina; Chile,NA,patagonian; steppe,FALSE,Argentina; Chile; patagonian; steppe
12671,NA,NA,NA,NA,NA,FALSE,NA
17984,NA,NA,NA,NA,NA,FALSE,NA
18483,NA,NA,NA,NA,NA,FALSE,NA
17080,NA,NA,NA,NA,NA,FALSE,NA
12226,NA,NA,NA,NA,NA,FALSE,NA
6108,US,US,NA,NA,alpine,FALSE,US; alpine
11815,South Africa,NA,South Africa,africa,NA,FALSE,South Africa; africa
19048,NA,NA,NA,NA,NA,FALSE,NA
16878,South Korea,South Korea,NA,NA,NA,FALSE,South Korea
18253,NA,NA,NA,NA,aquatic,FALSE,aquatic
6304,NA,NA,NA,NA,NA,FALSE,NA
8210,NA,NA,NA,NA,delta; grassland,FALSE,delta; grassland
9825,NA,NA,NA,NA,NA,FALSE,NA
10442,India,NA,India,NA,western ghats,FALSE,India; western ghats
4860,Japan,Japan,NA,NA,japan,FALSE,Japan; japan
12261,NA,NA,NA,NA,NA,TRUE,NA
13946,India,NA,India,NA,NA,FALSE,India
5814,NA,NA,NA,NA,meadow,FALSE,meadow
13642,NA,NA,NA,NA,prairie; southwest,FALSE,prairie; southwest
4771,Bulgaria,NA,Bulgaria,NA,aquatic; stream,FALSE,Bulgaria; aquatic; stream
5328,NA,NA,NA,NA,NA,FALSE,NA
3675,NA,NA,NA,NA,NA,FALSE,NA
13533,NA,NA,NA,NA,NA,FALSE,NA
12694,NA,NA,NA,NA,NA,FALSE,NA
5836,NA,NA,NA,NA,NA,FALSE,NA
70,NA,NA,NA,NA,NA,FALSE,NA
6765,China,NA,China,NA,reservoir,FALSE,China; reservoir
923,NA,NA,NA,NA,desert,FALSE,desert
9885,NA,NA,NA,NA,boreal; subarctic; coastal,FALSE,boreal; subarctic; coastal
18490,NA,NA,NA,NA,NA,FALSE,NA
1761,NA,NA,NA,NA,NA,FALSE,NA
6726,China,NA,China,NA,NA,FALSE,China
2967,NA,NA,NA,NA,NA,FALSE,NA
10575,NA,NA,NA,NA,NA,TRUE,NA
6279,NA,NA,NA,NA,mangrove,FALSE,mangrove
1219,NA,NA,NA,NA,NA,FALSE,NA
20730,NA,NA,NA,NA,NA,FALSE,NA
9623,China,NA,China,NA,NA,FALSE,China
8137,NA,NA,NA,NA,NA,FALSE,NA
15540,China,NA,China,NA,NA,TRUE,China
14291,Antarctica,NA,Antarctica,antarctic,tropical,FALSE,Antarctica; antarctic; tropical
13704,Guinea; Papua New Guinea,NA,Guinea; Papua New Guinea,NA,NA,FALSE,Guinea; Papua New Guinea
925,China,NA,China,NA,NA,FALSE,China
5598,NA,NA,NA,NA,NA,FALSE,NA
336,NA,NA,NA,NA,NA,FALSE,NA
7816,NA,NA,NA,NA,NA,FALSE,NA
12826,NA,NA,NA,NA,NA,FALSE,NA
1609,Argentina,NA,Argentina,NA,NA,FALSE,Argentina
1955,NA,NA,NA,NA,NA,FALSE,NA
3124,NA,NA,NA,NA,grassland,FALSE,grassland
239,NA,NA,NA,NA,NA,FALSE,NA
19704,NA,NA,NA,NA,NA,FALSE,NA
13913,NA,NA,NA,NA,NA,FALSE,NA
15747,NA,NA,NA,NA,NA,FALSE,NA
16686,NA,NA,NA,NA,NA,FALSE,NA
17419,NA,NA,NA,NA,NA,FALSE,NA
1751,Argentina,NA,Argentina,NA,NA,FALSE,Argentina
16579,NA,NA,NA,NA,NA,FALSE,NA
9571,France,France,NA,NA,NA,FALSE,France
15207,NA,NA,NA,NA,NA,FALSE,NA
8837,NA,NA,NA,NA,NA,FALSE,NA
19705,NA,NA,NA,NA,NA,FALSE,NA
6033,NA,NA,NA,NA,NA,FALSE,NA
15579,NA,NA,NA,NA,NA,FALSE,NA
2047,NA,NA,NA,NA,NA,FALSE,NA
18353,NA,NA,NA,NA,NA,FALSE,NA
13148,NA,NA,NA,NA,NA,FALSE,NA
1822,China,NA,China,NA,southwest,FALSE,China; southwest
15535,NA,NA,NA,NA,NA,FALSE,NA
18399,NA,NA,NA,NA,NA,FALSE,NA
18074,NA,NA,NA,NA,NA,FALSE,NA
17605,NA,NA,NA,NA,NA,FALSE,NA
7384,Japan,Japan,NA,NA,japan,TRUE,Japan; japan
13481,Zimbabwe,NA,Zimbabwe,NA,NA,FALSE,Zimbabwe
15351,NA,NA,NA,NA,NA,FALSE,NA
18512,NA,NA,NA,NA,NA,FALSE,NA
13576,NA,NA,NA,NA,NA,FALSE,NA
15762,Germany,Germany,NA,NA,reservoir,FALSE,Germany; reservoir
15188,NA,NA,NA,NA,NA,TRUE,NA
14921,NA,NA,NA,NA,alpine; grassland,FALSE,alpine; grassland
1935,NA,NA,NA,NA,arctic,FALSE,arctic
4884,NA,NA,NA,NA,NA,FALSE,NA
16821,NA,NA,NA,NA,NA,FALSE,NA
3182,NA,NA,NA,NA,NA,FALSE,NA
18945,NA,NA,NA,NA,NA,FALSE,NA
6937,China,NA,China,NA,aquatic; southwest,FALSE,China; aquatic; southwest
12808,NA,NA,NA,NA,NA,FALSE,NA
8568,NA,NA,NA,NA,NA,TRUE,NA
9472,NA,NA,NA,NA,NA,TRUE,NA
21031,Democratic Republic of the Congo,NA,Democratic Republic of the Congo,NA,NA,FALSE,Democratic Republic of the Congo
3774,Puerto Rico,NA,Puerto Rico,NA,NA,FALSE,Puerto Rico
11836,Turkey; Spain; Italy; Greece; France,Spain; Italy; Greece; France,Turkey,europe,anatolia; mediterranean,FALSE,Turkey; Spain; Italy; Greece; France; europe; anatolia; mediterranean
5026,Morocco,NA,Morocco,NA,NA,FALSE,Morocco
18375,NA,NA,NA,NA,NA,FALSE,NA
18866,NA,NA,NA,NA,NA,FALSE,NA
6037,Germany,Germany,NA,NA,NA,FALSE,Germany
11629,Sri Lanka,NA,Sri Lanka,NA,mangrove; lagoon; sri lanka,FALSE,Sri Lanka; mangrove; lagoon; sri lanka
8770,NA,NA,NA,NA,mangrove,TRUE,mangrove
8612,NA,NA,NA,NA,NA,TRUE,NA
18189,NA,NA,NA,NA,NA,FALSE,NA
19010,NA,NA,NA,NA,NA,FALSE,NA
9432,NA,NA,NA,NA,marine,TRUE,marine
19773,NA,NA,NA,NA,NA,FALSE,NA
1460,NA,NA,NA,NA,NA,FALSE,NA
5606,China,NA,China,NA,NA,FALSE,China
9232,NA,NA,NA,NA,NA,FALSE,NA
1731,NA,NA,NA,NA,NA,FALSE,NA
6749,NA,NA,NA,NA,NA,FALSE,NA
8956,NA,NA,NA,NA,NA,FALSE,NA
7394,Thailand,NA,Thailand,NA,NA,FALSE,Thailand
17219,NA,NA,NA,NA,NA,TRUE,NA
2992,NA,NA,NA,NA,coastal; tropical,FALSE,coastal; tropical
12783,US,US,NA,NA,NA,FALSE,US
3492,NA,NA,NA,NA,grassland,FALSE,grassland
10348,NA,NA,NA,NA,NA,FALSE,NA
19824,NA,NA,NA,NA,NA,FALSE,NA
6738,NA,NA,NA,NA,stepping stone,FALSE,stepping stone
11672,NA,NA,NA,NA,NA,FALSE,NA
20025,NA,NA,NA,NA,river,FALSE,river
8891,NA,NA,NA,NA,NA,FALSE,NA
5790,NA,NA,NA,NA,NA,FALSE,NA
7647,NA,NA,NA,NA,NA,TRUE,NA
9422,NA,NA,NA,NA,NA,FALSE,NA
7692,NA,NA,NA,NA,NA,TRUE,NA
5650,Spain,Spain,NA,NA,NA,FALSE,Spain
2761,China,NA,China,NA,subtropical; old growth,FALSE,China; subtropical; old growth
7431,NA,NA,NA,NA,NA,FALSE,NA
9094,NA,NA,NA,NA,NA,FALSE,NA
1762,Spain; Italy; Greece; Turkey; France,Spain; Italy; Greece; France,Turkey,NA,pasture; mediterranean,FALSE,Spain; Italy; Greece; Turkey; France; pasture; mediterranean
15486,NA,NA,NA,NA,NA,FALSE,NA
15624,NA,NA,NA,NA,NA,FALSE,NA
