"","label","abstract","publication_type","authors","book_authors","book_editors","book_group_authors","author_full_names","book_author_full_names","group_authors","article_title","source_title","book_series_title","book_series_subtitle","language","document_type","conference_title","conference_date","conference_location","conference_sponsor","conference_host","author_keywords","keywords_plus","addresses","affiliations","reprint_addresses","email_addresses","researcher_ids","orci_ds","funding_orgs","funding_name_preferred","funding_text","cited_references","cited_reference_count","times_cited_wo_s_core","times_cited_all_databases","x180_day_usage_count","since_2013_usage_count","publisher","publisher_city","publisher_address","issn","e_issn","isbn","journal_abbreviation","journal_iso_abbreviation","publication_date","publication_year","volume","issue","part_number","supplement","special_issue","meeting_abstract","start_page","end_page","article_number","doi","doi_link","book_doi","early_access_date","number_of_pages","wo_s_categories","web_of_science_index","research_areas","ids_number","pubmed_id","open_access_designations","highly_cited_status","hot_paper_status","date_of_export","ut_unique_wos_id","web_of_science_record","id","predicted_label"
"29","Presence","Botrytis cinereais an important phytopathogenic fungus affecting the fruit production around the world. This fungus is controlled mainly by using synthetic fungicides, but many resistant isolates have been selected by the indiscriminate use of fungicides. Endophytic fungi or secondary metabolites obtained from them become an alternative method of control for this fungus. The aim of this work was to identify endophytic fungi with antifungal activity against the plant pathogenic fungusB. cinereaisolated from plants from Central Andean Precordillera of Chile. Three endophytic fungi (Ac1, Lc1 and Ec1) with antifungal activity againstB. cinereawere isolated from native and endemic plants growing in Central Andean Precordillera of Chile. The isolates Lc1 (isolated fromLithraea caustica) and Ac1 (isolated fromAcacia caven) were identified asAlternariaspp. and the isolate Ec1 (isolated fromEchinopsis chiloensis) was identified asAureobasidiumspp. The isolated endophytic fungi would inhibitB. cinereathrough the secretion of diffusible and volatile compounds affecting the mycelial growth, conidia germination and interestingly, it was also shown that the volatile compounds produced by the three isolated endophytic fungi suppressed the sporulation ofB. cinerea.","J","Vidal, A; Parada, R; Mendoza, L; Cotoras, M",NA,NA,NA,"Vidal, Araceli; Parada, Rodolfo; Mendoza, Leonora; Cotoras, Milena",NA,NA,"Endophytic Fungi Isolated from Plants Growing in Central Andean Precordillera of Chile with Antifungal Activity against Botrytis cinerea","JOURNAL OF FUNGI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2309-608X",NA,NA,NA,"SEP",2020,6,"3",NA,NA,NA,NA,NA,NA,"149","10.3390/jof6030149","http://dx.doi.org/10.3390/jof6030149",NA,NA,NA,NA,NA,NA,NA,32858807,NA,NA,NA,NA,"WOS:000580707900001","View Full Record in Web of Science",33,NA
"30","Review","Endophytic fungi infect plant tissues by evading the immune response, potentially stimulating stress-tolerant plant growth. The plant selectively allows microbial colonization to carve endophyte structures through phenotypic genes and metabolic signals. Correspondingly, fungi develop various adaptations through symbiotic signal transduction to thrive in mycorrhiza. Over the past decade, the regulatory mechanism of plant-endophyte interaction has been uncovered. Currently, great progress has been made on plant endosphere, especially in endophytic fungi. Here, we systematically summarize the current understanding of endophytic fungi colonization, molecular recognition signal pathways, and immune evasion mechanisms to clarify the transboundary communication that allows endophytic fungi colonization and homeostatic phytobiome. In this work, we focus on immune signaling and recognition mechanisms, summarizing current research progress in plant-endophyte communication that converge to improve our understanding of endophytic fungi.","J","Lu, HY; Wei, TY; Lou, HH; Shu, XL; Chen, QH",NA,NA,NA,"Lu, Hongyun; Wei, Tianyu; Lou, Hanghang; Shu, Xiaoli; Chen, Qihe",NA,NA,"A Critical Review on Communication Mechanism within Plant-Endophytic Fungi Interactions to Cope with Biotic and Abiotic Stresses","JOURNAL OF FUNGI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"chen, qian/HKE-2403-2023; Chen, QH/GXH-3158-2022; lu, hongyun/GXG-8911-2022; Chen, Qihe/G-4425-2012","Chen, Qihe/0000-0003-3862-4356; , Xiaoli/0000-0002-8173-7703",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2309-608X",NA,NA,NA,"SEP",2021,7,"9",NA,NA,NA,NA,NA,NA,"719","10.3390/jof7090719","http://dx.doi.org/10.3390/jof7090719",NA,NA,NA,NA,NA,NA,NA,34575757,NA,NA,NA,NA,"WOS:000699655300001","View Full Record in Web of Science",34,NA
"31","Review","Alzheimer's is the most common cause of dementia worldwide and seriously affects patients' daily tasks. Plant endophytic fungi are known for providing novel and unique secondary metabolites with diverse activities. This review focuses primarily on the published research regarding anti-Alzheimer's natural products derived from endophytic fungi between 2002 and 2022. Following a thorough review of the literature, 468 compounds with anti-Alzheimer's-related activities are reviewed and classified based on their structural skeletons, primarily including alkaloids, peptides, polyketides, terpenoids, and sterides. The classification, occurrences, and bioactivities of these natural products from endophytic fungi are summarized in detail. Our results provide a reference on endophytic fungi natural products that may assist in the development of new anti-Alzheimer's compounds.","J","Zhu, JT; Wang, ZM; Song, LX; Fu, WX; Liu, L",NA,NA,NA,"Zhu, Juntai; Wang, Zimo; Song, Lixia; Fu, Wanxin; Liu, Li",NA,NA,"Anti-Alzheimer's Natural Products Derived from Plant Endophytic Fungi","MOLECULES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Song, Lixia/B-1390-2013","Song, Lixia/0000-0002-8742-9816",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1420-3049",NA,NA,NA,"MAR",2023,28,"5",NA,NA,NA,NA,NA,NA,"2259","10.3390/molecules28052259","http://dx.doi.org/10.3390/molecules28052259",NA,NA,NA,NA,NA,NA,NA,36903506,NA,NA,NA,NA,"WOS:000947407500001","View Full Record in Web of Science",35,NA
"32","Presence","The potential of endophytes to initiate changes in host secondary metabolism is expected to be applied to improve the biochemical qualities of the crop. Our previous study revealed the significant impacts of fungal endophytes on the biochemical properties and the anthocyanin profiles in grape berries of the local cultivar 'Rose Honey' (RH). To validate the effects, our present work further assessed the impacts of the same fungal endophytes on grape berries of the worldwide planted grapevine cultivar 'Cabernet Sauvignon' (CS). Consistent with the results of RH, exposure to most of the used endophytic fungi shaped the biochemical traits and anthocyanidin profile of the CS grape berries. Among the detected biochemical traits, the phenylalanine ammonia-lyase (PAL) activity in berries had the strongest response to endophytic fungal exposure, and the fungal strains RH32, RH36, and MDR1 had the greatest biochemical impacts on the grape berries. Interestingly, the most anthocyanidin species were detected in the two grape berry varieties when exposed to fungal strains MDR36 and RH34. In both varieties, the total anthocyanin concentrations were quantitatively promoted by strains RH36, RH44, MDR1, and MDR36, but suppressed by strain RH7. Malvidin derivatives and delphinidin derivatives accounted for the majority of the relative abundance of the total detected anthocyanins in CS berries. The acylation degree of anthocyanins in grape berries was also significantly promoted by exposure to fungal endophytes. In CS grape berries, a seldom-distributed anthocyanidin, pelargonidin-3-O-glucoside, as well as the diglucoside anthocyanidin were detected when exposed to fungal strains as RH32, RH34, RH36, MDR1, MDR4, and MDR36. Overall, the endophytic fungal strains MDR36, RH36, and RH34 have the ability to promote metabolite profiles in both grape varieties. This work confirms the possibility of using certain endophytic fungal strains as a strategy for shaping grape pigmentation in vinification at the post-veraison or post-harvest stages.","J","Pan, XX; Chen, CX; Wang, YT; Zhu, YY; Yang, MZ",NA,NA,NA,"Pan, Xiao-Xia; Chen, Chun-Xiao; Wang, Yu-Tao; Zhu, You-Yong; Yang, Ming-Zhi",NA,NA,"Exposure to the Endophytic Fungi Regulates the Anthocyanin Profiles in the Post-Veraison Grape Berries of 'Cabernet Sauvignon'","HORTICULTURAE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yang, Mingzhi/0000-0002-3134-7643",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2311-7524",NA,NA,NA,"FEB",2023,9,"2",NA,NA,NA,NA,NA,NA,"237","10.3390/horticulturae9020237","http://dx.doi.org/10.3390/horticulturae9020237",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WOS:000939253200001","View Full Record in Web of Science",36,NA
"33","Presence","Endophytic fungi occupy inner plant tissues, which results in various interactions between the fungus and host. Studies on endophytic fungi have been conducted in Korea for over 30 years. This paper summarizes the published results of those studies. The endophytic fungi of approximately 132 plant species in Korea have been studied since the 1990s, resulting in over 118 publications. The host plants featured in these studies comprised 3 species of mosses, 34 species of woody plants, and 95 species of herbaceous plants. At the family level, the most studied plants were members of the Poaceae family, covering 18 species. Regionally, these studies were conducted throughout Korea, but over half of the studies were conducted in Gyeongsangbuk-do, Gangwon-do, and Chungcheongnam-do. Relatively few studies have been conducted in a metropolis such as Seoul. We confirmed 5 phyla, 16 classes, 49 orders, 135 families, 305 genera, and 855 taxa of endophytic fungi, excluding Incertae sedis, whose relationship with others are unknown. Most of the endophytic fungi belonged to Ascomycota (93.2%), and a few belonged to Basidiomycota (3.6%). Since the diversity of endophytic fungi differs depending on the host plant, plant tissue, and distribution region, future studies should be conducted on multiple host plants and in various regions. Future studies on endophytic fungi are expected to broaden, including genomics and taxonomic and ecological studies of secondary metabolites.","J","Eo, JK; Choi, JW; Eom, AH",NA,NA,NA,"Eo, Ju-Kyeong; Choi, Jae-Wook; Eom, Ahn-Heum",NA,NA,"Diversity, Distribution, and Host Plant of Endophytic Fungi: A Focus on Korea","MYCOBIOLOGY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Eo, Ju-Kyeong/ABC-1121-2020","Eom, Ahn-Heum/0000-0002-6821-1088; Choi, Jae-Wook/0000-0003-0411-1384",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1229-8093","2092-9323",NA,NA,NA,"45598",2022,50,"6",NA,NA,NA,NA,"399","407",NA,"10.1080/12298093.2022.2154044","http://dx.doi.org/10.1080/12298093.2022.2154044",NA,"12/22/2024",NA,NA,NA,NA,NA,36721791,NA,NA,NA,NA,"WOS:000899611200001","View Full Record in Web of Science",37,NA
"34","Presence","A strain LF70 endophytic fungus was isolated from the leaves of Huperzia serrata. The fungus was identified as Cladosporium cladosporioides LF70 according to its morphological characteristics and nuclear ribosomal DNA ITS sequence analysis. The strain could produce Huperzine A (HupA) identified through thin layer chromatography (TLC) and high-performance liquid chromatography (HPLC) with authentic HupA. The amount of HupA produced by this endophytic fungus was quantified to be 56.84 mu g/L by HPLC, which was higher than that of other reported endophytic fungi, Acremonium sp., Blastomyces sp., and Botrytis sp. Acetylcholinesterase inhibition activity of HupA produced by strain LF70 was also similar to authentic HupA in vitro. Isolation of such a fungus may provide a promising alternative approach to producing HupA, which is used in treating Alzheimer's disease and preventing further memory degeneration.","J","Zhang, ZB; Zeng, QG; Yan, RM; Wang, Y; Zou, ZR; Zhu, D",NA,NA,NA,"Zhang, Zhi Bin; Zeng, Qing Gui; Yan, Ri Ming; Wang, Ya; Zou, Zheng Rong; Zhu, Du",NA,NA,"Endophytic fungus Cladosporium cladosporioides LF70 from Huperzia serrata produces Huperzine A","WORLD JOURNAL OF MICROBIOLOGY & BIOTECHNOLOGY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zhu, Du/0000-0003-3184-2844",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0959-3993","1573-0972",NA,NA,NA,"MAR",2011,27,"3",NA,NA,NA,NA,"479","486",NA,"10.1007/s11274-010-0476-6","http://dx.doi.org/10.1007/s11274-010-0476-6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WOS:000287327300002","View Full Record in Web of Science",38,NA
"35","Presence","Ethylene, the first known gaseous phytohormone, is involved in plant growth, development as well as responses to environmental signals. However, limited information is available on the role of ethylene in endophytic fungi induced secondary metabolites biosynthesis. Atractylodes lancea is a traditional Chinese herb, and its quality depends on the main active compounds sesquiterpenoids. This work showed that the endophytic fungus Gilmaniella sp. AL12 induced ethylene production in Atractylodes lancea. Pre-treatment of plantlets with ethylene inhibiter aminooxyacetic acid (AOA) suppressed endophytic fungi induced accumulation of ethylene and sesquiterpenoids. Plantlets were further treated with AOA, salicylic acid (SA) biosynthesis inhibitor paclobutrazol (PAC), jasmonic acid inhibitor ibuprofen (IBU), hydrogen peroxide (H2O2) scavenger catalase (CAT), nitric oxide (NO) -specific scavenger 2-(4-Carboxypheny1)-4,4,5,5-tetramethylimidazoline-1-oxy1-3-oxide potassium salt (cPTIO). With endophytic fungi inoculation, IBU or PAC did not inhibit ethylene production, and JA and SA generation were suppressed by AOA, showing that ethylene may act as an upstream signal of JA and SA pathway. With endophytic fungi inoculation, CAT or cPTIO suppressed ethylene production, and H2O2 or NO generation was not affected by 1-aminocyclopropane-1-carboxylic acid (ACC), showing that ethylene may act as a downstream signal of H2O2 and NO pathway. Then, plantlets were treated with ethylene donor ACC, JA, SA, H2O2, NO donor sodium nitroprusside (SNP). Exogenous ACC could trigger JA and SA generation, whereas exogenous JA or SA did not affect ethylene production, and the induced sesquiterpenoids accumulation triggered by ACC was partly suppressed by IBU and PAC, showing that ethylene acted as an upstream signal of JA and SA pathway. Exogenous ACC did not affect H2O2 or NO generation, whereas exogenous H2O2 and SNP induced ethylene production, and the induced sesquiterpenoids accumulation triggered by SNP or H2O2 was partly suppressed by ACC, showing that ethylene acted as a downstream signal of NO and H2O2 pathway. Taken together, this study demonstrated that ethylene is an upstream signal of JA and SA, and a downstream signal of NO and H2O2 signaling pathways, and acts as an important signal mediating sesquiterpenoids biosynthesis of Atractylodes lancea induced by the endophytic fungus.","J","Yuan, J; Sun, K; Deng-Wang, MY; Dai, CC",NA,NA,NA,"Yuan, Jie; Sun, Kai; Deng-Wang, Meng-Yao; Dai, Chuan-Chao",NA,NA,"The Mechanism of Ethylene Signaling Induced by Endophytic Fungus Gilmaniella sp AL12 Mediating Sesquiterpenoids Biosynthesis in Atractylodes lancea","FRONTIERS IN PLANT SCIENCE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1664-462X",NA,NA,NA,NA,"45374",2016,7,NA,NA,NA,NA,NA,NA,NA,"361","10.3389/fpls.2016.00361","http://dx.doi.org/10.3389/fpls.2016.00361",NA,NA,NA,NA,NA,NA,NA,27047528,NA,NA,NA,NA,"WOS:000372566200001","View Full Record in Web of Science",39,NA
"36","Presence","The secondary metabolites of mangrove-derived endophytic fungi contain multiple substances with novel structures and biological activities. In the present study, three types of mangrove plants, namely Kandelia candel, Rhizophora stylosa and Rhizophoraceae from Zhanjiang region including the leaves, roots and stems were collected, and endophytic fungi were isolated, purified and identified from these mangrove plants. MTT assay was used to observe the effects of the isolated endophytic fungi on the growth of A549 and NCI-H460 lung cancer cells. The effect of the endophytic fungi on lung cancer angiogenesis in vitro induced by the HPV-16 E7 oncoprotein was observed. Our results showed that 28 strains of endophytic fungi were isolated, purified and identified from the three types of mangrove plants. Ten strains of endophytic fungi significantly suppressed the growth of A549 and NCI-H460 cells. The average inhibitory rates in the A549 cells were 64.4, 59.5, 81.9, 43.9, 58.3, 56.2, 48.3, 42.4, 93.0 and 49.7%, respectively. The average inhibitory rates in the NCI-H460 cells were 41.2, 49.3, 82.7, 40.7, 53.9, 52.6, 56.8, 64.3, 91.0 and 45.6%, respectively. Particularly, three strains of endophytic fungi markedly inhibited HPV-16 E7 oncoprotein-induced lung cancer angiogenesis in vitro. These findings contribute to the further screening of potential chemotherapeutic agents from mangrove-derived endophytic fungi.","J","Liu, X; Wu, X; Ma, YF; Zhang, WZ; Hu, L; Feng, XW; Li, XY; Tang, XD",NA,NA,NA,"Liu, Xin; Wu, Xin; Ma, Yuefan; Zhang, Wenzhang; Hu, Liang; Feng, Xiaowei; Li, Xiangyong; Tang, Xudong",NA,NA,"Endophytic fungi from mangrove inhibit lung cancer cell growth and angiogenesis in vitro","ONCOLOGY REPORTS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1021-335X","1791-2431",NA,NA,NA,"MAR",2017,37,"3",NA,NA,NA,NA,"1793","1803",NA,"10.3892/or.2017.5366","http://dx.doi.org/10.3892/or.2017.5366",NA,NA,NA,NA,NA,NA,NA,28098865,NA,NA,NA,NA,"WOS:000396186600057","View Full Record in Web of Science",40,NA
"37","Presence","Endophytic fungi occur in living tissues of terrestrial plants. Many of these fungi are primarily biotrophic, but the trophic range of endophytic fungi as a group may not be fully appreciated. In this study, our goals were (1) for the Class 3 foliar endophytic fungi isolated from Quercus gambelii, determine their potential saprotrophic ca-pacity, which we define as the difference in growth rate in culture on Quercus gambelii leaf litter medium and control medium lacking leaf litter and (2) quantify sources of variation among isolates of these endophytic fungi in potential saprotrophic capacity, including variation due to microsite within host trees (leaves receiving full sun vs. shade) and variation within and among fungal genera. We found that 48 of the 49 tested endophytic fungal isolates have significant potential saprotrophic capacity. Contrary to expectation, the amount of solar radiation available to the leaf from which the fungi were isolated had no significant impact on potential sap-rotrophic capacity and there was more variability in potential saprotrophic capacity among isolates within a genus than among genera. Our results suggest that some Class 3 endophytic fungi may have the potential to function as saprotrophic fungi within plant litter, but this remains to be seen for these Quercus gambelii isolates under more natural circumstances.","J","Davis, EL; Weatherhead, E; Koide, RT",NA,NA,NA,"Davis, Emily Lorine; Weatherhead, Emily; Koide, Roger T.",NA,NA,"The potential saprotrophic capacity of foliar endophytic fungi from Quercus gambelii","FUNGAL ECOLOGY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Koide, Roger/AAE-7763-2020","Koide, Roger/0000-0002-5209-5422",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1754-5048","1878-0083",NA,NA,NA,"APR",2023,62,NA,NA,NA,NA,NA,NA,NA,"101221","10.1016/j.funeco.2022.101221","http://dx.doi.org/10.1016/j.funeco.2022.101221",NA,"12/22/2024",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WOS:000910702000001","View Full Record in Web of Science",41,NA
"38","Presence","Endophytic fungi are a group of fungi that reside in the living plant without causing any disease symptoms. It shows symbiotic/mutualistic characteristics with host plants. Endophytic fungi may increase the host defense system against various pathogenic microorganisms and may encompass secondary metabolites of respective host plants. Isolation of endophytic fungi and its metabolites from Justicia gendarussa plant grown in Bangladesh is a recent and new approach. A total of seven endophytic fungi were isolated and purified from the leaf and bark part of the plant. All of the isolated endophytic fungi were identified up to genus level on the basis of macroscopic and microscopic characteristics and up to species level on the basis of molecular characteristics as Colletotrichum gloeosporioides, Diaporthe pseudomangiferae, Pseudopestalotiopsis camelliae-sinensis, Colletotrichum gloeosporioides, Fusarium solani, Colletotrichum tropicale and Colletotrichum siamense. Preliminary chemical screening of the fungal extracts by thin-layer chromatographic technique revealed the presence of various compounds such as flavonoids, anthraquinones, couramins, isocoumarins etc. Fungal strain Pseudopestalotiopsis camelliae-sinensis exhibited significant antiradical activity through DPPH scavenging method and moderate antimicrobial activity against a wide range of human pathogenic microbes. Using brine shrimp lethality bioassay, all the isolates showed strong cytotoxic activity, therefore suggested that all the extracts may have bioactive metabolites. Overall, these findings indicate that Justicia gendarussa and its associated endophytic fungi could be an important source for exploring potentially bioactive compounds or leads for the new drug candidates. (C) 2020 Published by Elsevier Ltd.","J","Mahmud, SMN; Sohrab, MH; Begum, N; Rony, SR; Sharmin, S; Moni, F; Akhter, S; Mohiuddin, AKM; Afroz, F",NA,NA,NA,"Mahmud, S. M. Neaz; Sohrab, Md Hossain; Begum, Nadira; Rony, Satyajit Roy; Sharmin, Suriya; Moni, Fatema; Akhter, Shammi; Mohiuddin, A. K. M.; Afroz, Farhana",NA,NA,"Cytotoxicity, antioxidant, antimicrobial studies and phytochemical screening of endophytic fungi isolated from Justicia gendarussa","ANNALS OF AGRICULTURAL SCIENCE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rony, satyajit Roy/E-4075-2014; Sharmin, Suriya/L-1288-2018","Rony, satyajit Roy/0000-0002-6884-2904; Sharmin, Suriya/0000-0003-0787-8388; Mahmud, S.M. Neaz/0000-0001-9491-9402",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0570-1783","2090-8377",NA,NA,NA,"DEC",2020,65,"2",NA,NA,NA,NA,"225","232",NA,"10.1016/j.aoas.2020.12.003","http://dx.doi.org/10.1016/j.aoas.2020.12.003",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WOS:000605233100014","View Full Record in Web of Science",42,NA
"39","Review","Among microorganisms, endophytic fungi are the least studied, but they have attracted attention due to their high biological diversity and ability to produce novel and bioactive secondary metabolites to protect their host plant against biotic and abiotic stress. These compounds belong to different structural classes, such as alkaloids, peptides, terpenoids, polyketides, and steroids, which could present significant biological activities that are useful for pharmacological or medical applications. Recent reviews on endophytic fungi have mainly focused on the production of novel bioactive compounds. Here, we focus on compounds produced by endophytic fungi, reported with uncommon bioactive structures, establishing the neighbor net and diversity of endophytic fungi. The review includes compounds published from January 2015 to December 2020 that were catalogued as unprecedented, rare, uncommon, or possessing novel structural skeletons from more than 39 different genera, with Aspergillus and Penicillium being the most mentioned. They were reported as displaying cytotoxic, antitumor, antimicrobial, antiviral, or anti-inflammatory activity. The solid culture, using rice as a carbon source, was the most common medium utilized in the fermentation process when this type of compound was isolated.","J","Ortega, HE; Torres-Mendoza, D; Caballero, EZ; Cubilla-Rios, L",NA,NA,NA,"Ortega, Humberto E.; Torres-Mendoza, Daniel; Caballero, Zuleima E.; Cubilla-Rios, Luis",NA,NA,"Structurally Uncommon Secondary Metabolites Derived from Endophytic Fungi","JOURNAL OF FUNGI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cubilla-Rios, Luis/AAU-8928-2021; Torres-Mendoza, Daniel/AAU-7741-2020","Cubilla-Rios, Luis/0000-0003-1666-8948; Ortega-Dominguez, Humberto/0000-0003-1385-0103; Torres-Mendoza, Daniel/0000-0002-3540-4238",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2309-608X",NA,NA,NA,"JUL",2021,7,"7",NA,NA,NA,NA,NA,NA,"570","10.3390/jof7070570","http://dx.doi.org/10.3390/jof7070570",NA,NA,NA,NA,NA,NA,NA,34356949,NA,NA,NA,NA,"WOS:000676717700001","View Full Record in Web of Science",43,NA
"40","Review","Endophytic fungi live in symbiotic association with plants for at least part of their life. They are potential agents for the production of new and bioactive compounds, as well as for the use in agriculture, medicine and industry. Endophytic fungi produce Volatile Organic Compounds (VOCs), which are low molecular weight compounds that readily evaporate at normal temperatures and pressures. Fungi are not only capable of producing a wide variety of volatile compounds, they are also able to metabolize them and they have a great importance in chemical ecology. Mixtures of VOCs produced by endophytic fungi are mainly composed by alcohols, aldehydes, esters, aromatic and aliphatic hydrocarbons, terpenoids, nitrogen and sulfur compounds. They can be used in biotechnological applications such as biofuels, mycofumigation, alellochemicals, flavor in food and in the chemotaxonomic identification of fungi. The objective of this mini review was to perform a search in the literature on the endophytic fungi producing VOCs and their biotechnological potential.","J","Moraes, GKA; Ferraz, LF; Chapla, VM",NA,NA,NA,"Aquino Moraes, Gleys Kellen; Ferraz, Luana Fernandes; Chapla, Vanessa Mara",NA,NA,"Volatile Organic Compounds of Endophytic Fungi and Biotechnological Applications","REVISTA VIRTUAL DE QUIMICA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Chapla, Vanessa/JHT-0248-2023; Chapla, Vanessa/F-2210-2018","Chapla, Vanessa/0000-0002-1078-668X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1984-6835",NA,NA,NA,NA,"NOV-DEC",2020,12,"6",NA,NA,NA,NA,"1498","1510",NA,"10.21577/1984-6835.20200116","http://dx.doi.org/10.21577/1984-6835.20200116",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WOS:000623662500011","View Full Record in Web of Science",44,NA
"41","Review","Endophytic fungi as well as plant-parasitic nematodes probably coevolved with all plant life on earth including cultivated crop plants. While endophytic fungi often form mutualisitc associations to the benefit of the plant, plant-parasitic nematodes can cause detrimental yield losses. Although both groups of organisms interact very closely within the plant tissue, the potential role of endophytic fungi in nematode control was long overseen. Only recently has research on the interrelationships between endophytic fungi and plant-parasitic nematodes gained the interest of science working in plant protection. Numerous non-pathogenic endophytic fungi have been iisolated from agronomic crops such as tomato and banana and have shown antagonistic potential towards a diverse spectrum of plant-parasitic nematodes. This chapter reviews the research that has been conducted on the use of endophytic fungi to control plant-parasitic nematodes. The chapter concentrates on several important groups of mutualistic endophytic fungi, in particular the endomy-corrhizal fungi, Piriformospora indica, grass endophytes and Fusarium endophytes. Their biological control potential is presented and possible mode-of-actions are discussed. The review is meant to further stimulate research in this fascinating area and to provide a road map for practical application of endophytic fungi for the integrated management of plant-parasitic nematodes in the near future.","S","Hallmann, J; Sikora, RA",NA,"Davies, K; Spiegel, Y",NA,"Hallmann, Johannes; Sikora, Richard A.",NA,NA,"Endophytic Fungi","BIOLOGICAL CONTROL OF PLANT-PARASITIC NEMATODES: BUILDING COHERENCE BETWEEN MICROBIAL ECOLOGY AND MOLECULAR MECHANISMS","Progress in Biological Control",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1573-5915",NA,"978-1-4020-9647-1",NA,NA,NA,2011,11,NA,NA,NA,NA,NA,"227","258",NA,"10.1007/978-1-4020-9648-8_10","http://dx.doi.org/10.1007/978-1-4020-9648-8_10","10.1007/978-1-4020-9648-8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WOS:000293759700010","View Full Record in Web of Science",45,NA
